unitWeaponID	sortWeap	sort2	comment(s)	weapsOn	acquire	minRange	castpt	castbsw	launchX	launchY	launchZ	launchSwimZ	impactZ	impactSwimZ	weapType1	targs1	showUI1	rangeN1	RngTst	RngBuff1	atkType1	weapTp1	cool1	mincool1	dice1	sides1	dmgplus1	dmgUp1	mindmg1	avgdmg1	maxdmg1	dmgpt1	backSw1	Farea1	Harea1	Qarea1	Hfact1	Qfact1	splashTargs1	targCount1	damageLoss1	spillDist1	spillRadius1	DmgUpg	dmod1	DPS	weapType2	targs2	showUI2	rangeN2	RngTst2	RngBuff2	atkType2	weapTp2	cool2	mincool2	dice2	sides2	dmgplus2	dmgUp2	mindmg2	avgdmg2	maxdmg2	dmgpt2	backSw2	Farea2	Harea2	Qarea2	Hfact2	Qfact2	splashTargs2	targCount2	damageLoss2	spillDist2	spillRadius2	InBeta
Hamg	a1	uher	HeroArchMage	1	600	-	0.3	2.4	15	0	66	0	60	0	_	ground,structure,debris,air,item,ward	1	600	-	250	hero	missile	2.13	-	2	4	0	-	2	5	8	0.55	0.85	 - 	 - 	 - 	-	-	_	1	0	0	0	-	-	2.34741784037559	_	ground,structure,debris,air,item,ward	1	500	-	250	hero	missile	2.13	-	2	4	0	-	2	5	8	0.55	0.85	-	-	-	-	-	_	1	0	0	0	1
Hblm	a1	uher	HeroBloodMage	1	600	-	0.5	1	15	0	66	0	60	0	_	ground,structure,debris,air,item,ward	1	600	-	250	hero	missile	1.64	-	2	4	0	-	2	5	8	0.55	0.85	 - 	 - 	 - 	-	-	_	1	0	0	0	-	-	3.04878048780488	_	ground,structure,debris,air,item,ward	1	500	-	250	hero	missile	1.64	-	2	4	0	-	2	5	8	0.55	0.85	-	-	-	-	-	_	1	0	0	0	1
Hmkg	a1	uher	HeroMountainKing	1	500	-	0.4	0.5	0	0	60	0	60	0	MetalHeavyBash	ground,structure,debris,item,ward	1	100	-	250	hero	normal	2.22	-	2	6	0	-	2	7	12	0.35	0.65	 - 	 - 	 - 	-	-	_	1	0	0	0	-	-	3.15315315315315	_	ground,structure,debris,air,item,ward	1	500	-	250	hero	missile	2.22	-	2	6	0	-	2	7	12	0.35	0.65	-	-	-	-	-	_	1	0	0	0	1
Hpal	a1	uher	HeroPaladin	1	500	-	0.5	1.67	0	0	60	0	60	0	MetalHeavyBash	ground,structure,debris,item,ward	1	100	-	250	hero	normal	2	-	2	6	0	-	2	7	12	0.433	0.567	 - 	 - 	 - 	-	-	_	1	0	0	0	-	-	3.5	_	ground,structure,debris,air,item,ward	1	500	-	250	hero	missile	2	-	2	6	0	-	2	7	12	0.433	0.567	-	-	-	-	-	_	1	0	0	0	1
hbot	a2	zz	human transport ship	0	-	-	-	0.51	0	0	60	0	60	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	0
hbsh	a2	zz	human battleship	1	900	-	-	0.51	0	0	60	0	60	0	_	ground,structure,debris,item,ward	1	900	-	250	siege	artillery	2	-	3	10	75	-	78	91.5	105	0.3	0.3	100	150	250	0.5	0.25	ground,structure,debris,tree,wall,enemy,neutral	1	0	0	0	high	29	45.75	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	0
hdes	a2	zz	human frigate	1	650	-	-	0.51	0	70	30	30	60	30	_	ground,structure,debris,air,item,ward	1	600	-	250	normal	msplash	1.5	-	1	15	54	-	55	62	69	0.3	0.3	25	35	50	0.3	0.1	ground,structure,debris,tree,wall,enemy,neutral	1	0	0	0	-	59	41.3333333333333	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	0
hdhw	a2	fly2	blood elf dragon hawk	1	600	-	0.3	1.03	0	-17	33	0	20	0	_	ground,structure,debris,air,item,ward	1	300	-	250	pierce	missile	1.75	-	1	3	17	-	18	19	20	0.43	0.633	 - 	 - 	 - 	-	-	_	1	0	0	0	high	15	10.8571428571429	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hfoo	a2	me1	Footman	1	500	-	0.3	0.51	0	0	60	0	60	0	MetalMediumSlice	ground,structure,debris,item,ward	1	90	-	250	normal	normal	1.35	-	1	2	11	-	12	12.5	13	0.5	0.5	 - 	 - 	 - 	-	-	_	1	0	0	0	-	-	9.25925925925926	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hgry	a2	fly2	GryphonRider	3	500	-	0.3	0.5	12	-17	33	0	20	0	_	ground,structure,debris,item,ward	1	450	-	250	magic	mline	2.2	-	1	11	44	-	45	50	55	0.8	0.87	 - 	 - 	 - 	-	-	ground,structure,enemy,debris	1	0.2	0	50	-	-	22.7272727272727	_	air	1	450	-	250	magic	missile	2.4	-	1	11	44	-	45	50	55	0.8	0.87	-	 - 	 - 	 - 	-	_	1	0	0	0	1
