unitUIID	sortUI	file	fileVerFlags	unitSound	tilesetSpecific	name	unitClass	special	campaign	inEditor	hiddenInEditor	hostilePal	dropItems	nbmmIcon	useClickHelper	hideHeroBar	hideHeroMinimap	hideHeroDeathMsg	hideOnMinimap	blend	scale	legacyScale	scaleBull	maxPitch	maxRoll	elevPts	elevRad	fogRad	walk	run	selZ	weap1	weap2	teamColor	customTeamColor	armor	modelScale	legacyModelScale	red	green	blue	uberSplat	unitShadow	buildingShadow	shadowW	shadowH	shadowX	shadowY	shadowOnWater	selCircOnWater	occH	InBeta
Hamg	a1	units\human\HeroArchMage\HeroArchMage	0	HeroArchMage	0	archmage	HHero02	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.5	1.5	1	45	10	-	30	0	260	260	0	_	_	-1	0	Flesh	1	1	255	255	255		Shadow	_	190	190	75	75	1	0	0	1
Hblm	a1	units\human\HeroBloodElf\HeroBloodElf	0	BloodElfSorceror	0	bloodmage	HHero04	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.5	1.5	1	10	10	-	30	0	250	250	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	170	170	65	65	1	0	0	1
Hmkg	a1	units\human\HeroMountainKing\HeroMountainKing	0	HeroMountainKing	0	mountainking	HHero03	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.25	1.25	1	10	10	-	50	0	250	250	0	MetalHeavyBash	_	-1	0	Metal	1	1	255	255	255	_	Shadow	_	150	150	60	60	1	0	0	1
Hpal	a1	units\human\HeroPaladin\HeroPaladin	0	HeroPaladin	0	paladin	HHero01	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.25	1.25	1	10	10	-	30	0	250	250	0	MetalHeavyBash	_	-1	0	Metal	1	1	255	255	255	_	Shadow	_	170	170	65	65	1	0	0	1
hbot	a2	units\creeps\HumanTransportShip\HumanTransportShip	0	Boat	0	humantransportship	boat	0	1	1	0	-	1	-	0	0	0	0	0	0.15	3	3	1	0	0	-	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	_	Shadow	_	200	200	90	90	1	1	0	0
hbsh	a2	units\creeps\HumanBattleship\HumanBattleship	0	Boat	0	humanbattleship	boat	0	1	1	0	-	1	-	0	0	0	0	0	0.15	4	4	1	0	0	-	50	0	240	240	0	_	_	-1	0	Wood	1	1	255	255	255	_	Shadow	_	400	400	180	180	1	1	0	0
hdes	a2	units\creeps\HumanDestroyerShip\HumanDestroyerShip	0	Boat	0	humandestroyer	boat	0	1	1	0	-	1	-	0	0	0	0	0	0.15	3	3	1	0	0	-	50	0	240	240	0	_	_	-1	0	Wood	1	1	255	255	255	_	Shadow	_	200	200	90	90	1	1	0	0
hdhw	a2	units\human\BloodElfDragonHawk\BloodElfDragonHawk	0	BloodElfDragonHawk	0	dragonhawk	HUnit15	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.5	1.5	1	33	25	2	50	0	200	200	230	_	_	-1	0	Flesh	1	1	255	255	255	_	ShadowFlyer	_	160	160	80	80	1	0	0	1
hfoo	a2	units\human\Footman\Footman	0	Footman	0	footman	HUnit02	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	20	0	210	210	0	MetalMediumSlice	_	-1	0	Metal	1	1	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	1
hgry	a2	units\human\GryphonRider\GryphonRider	0	GryphonRider	0	gryphonrider	HUnit08	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.5	1.5	1	33	25	2	50	0	200	200	230	_	_	-1	0	Flesh	1.2	1.2	255	255	255	_	ShadowFlyer	_	180	180	90	90	1	0	0	1
